unmapped	no;no;no;no;no;no;no
5204	k__Eukaryota;p__Basidiomycota;Other;Other;Other;Other;Other
1385	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;Other;Other;Other
543	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;Other;Other
135621	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;Other;Other
155616	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;Other;Other;Other;Other
286	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;Other
4930	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;g__Saccharomyces;Other
1351	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__faecalis
716545	k__Eukaryota;p__Ascomycota;Other;Other;Other;Other;Other
33958	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;Other;Other
81852	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;Other;Other
5234	k__Eukaryota;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;Other;Other;Other
1639	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__monocytogenes
562	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__coli
91061	k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other;Other;Other
590	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;Other
1613	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__fermentum
5302	k__Eukaryota;p__Basidiomycota;Other;Other;Other;Other;Other
653685	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;Other
4893	k__Eukaryota;p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;f__Saccharomycetaceae;Other;Other
2	k__Bacteria;Other;Other;Other;Other;Other;Other
